"exposure1","exposure2","exposure3","exposure4","exposure5","exposure6","exposure7","exposure8","exposure9","outcome1","outcome2","outcome3","outcome4"
1,-0.00317224093401645,0.0837208580476604,-0.00611551858908792,0.0095754359279177,0.0503798348601344,0.0859069564331083,0.00683634492029923,-0.00666276619974401,0.0112178071701654,-0.0158729281173622,-0.0170893865684097,0.0198542239673578
-0.00317224093401645,1,0.00680577037768227,0.0203413829199786,0.00604095792534499,0.0309951718249062,0.0189836821266208,0.0830859923066054,-0.00858593186935855,0.00714803208323183,0.0126934726839893,0.058571113975312,-0.0365586483385831
0.0837208580476604,0.00680577037768227,1,0.0405725898317649,-0.0282274435795817,0.0314998271222362,0.0145339956927203,-0.0290891910804684,0.0372905416084871,0.0179633442222637,-0.0332580523957192,0.0148638268345834,0.0918807383281246
-0.00611551858908792,0.0203413829199786,0.0405725898317649,1,0.0681111326170997,0.0420293596140153,0.0208785434455295,0.0559441751877635,0.20523749624127,0.00735171253160936,0.0097141706073186,0.0123692957195365,-0.00728567090945563
0.0095754359279177,0.00604095792534499,-0.0282274435795817,0.0681111326170997,1,0.0524729282967807,-0.00886483305223272,0.0151974177323836,-0.00835739649702123,0.0144881880225967,-0.0184945126818019,0.0184320172240238,-0.00982495763975084
0.0503798348601344,0.0309951718249062,0.0314998271222362,0.0420293596140153,0.0524729282967807,1,0.0125604738509901,0.0360829262093308,-0.00542749671157821,-0.034795022926245,-0.0132789640092756,0.00322844922698431,-0.019503268282413
0.0859069564331083,0.0189836821266208,0.0145339956927203,0.0208785434455295,-0.00886483305223272,0.0125604738509901,1,0.0727209801269653,-0.077476635194756,0.0344651035314715,0.0105481073260458,0.0267329737412435,-0.0334486982180165
0.00683634492029923,0.0830859923066054,-0.0290891910804684,0.0559441751877635,0.0151974177323836,0.0360829262093308,0.0727209801269653,1,0.0701044463090301,-0.0217075686169384,0.00740128068039786,0.0185537564416641,0.000557292839451393
-0.00666276619974401,-0.00858593186935855,0.0372905416084871,0.20523749624127,-0.00835739649702123,-0.00542749671157821,-0.077476635194756,0.0701044463090301,1,0.00060723882934167,0.0657152403363004,-0.0289240597958595,0.00683956988079185
0.0112178071701654,0.00714803208323183,0.0179633442222637,0.00735171253160936,0.0144881880225967,-0.034795022926245,0.0344651035314715,-0.0217075686169384,0.00060723882934167,1,0.370479715980983,0.420081144517516,0.343090743184095
-0.0158729281173622,0.0126934726839894,-0.0332580523957192,0.00971417060731858,-0.0184945126818019,-0.0132789640092755,0.0105481073260458,0.00740128068039786,0.0657152403363004,0.370479715980983,1,0.141287636243015,0.106746828456533
-0.0170893865684097,0.058571113975312,0.0148638268345834,0.0123692957195365,0.0184320172240238,0.00322844922698431,0.0267329737412435,0.0185537564416641,-0.0289240597958595,0.420081144517516,0.141287636243015,1,0.110788838705539
0.0198542239673578,-0.0365586483385831,0.0918807383281246,-0.00728567090945563,-0.00982495763975084,-0.019503268282413,-0.0334486982180165,0.000557292839451393,0.00683956988079185,0.343090743184095,0.106746828456533,0.110788838705539,1
